Meet,VPF ID,Full Name,Gender,Weight Class,Age Class,platform,session,flight,bodyWeight,Squat 1,Squat 2,Squat 3,Bench 1,Bench 2,Bench 3,Deadlift 1,Deadlift 2,Deadlift 3,Team,Team Points,Competition Year,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000087,Trần Tùng Lâm,Male,53,Junior,1,1,A,"49,6","-85,00","-90,00","90,00","65,00","-70,00","-70,00","130,00","-135,00","-135,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000061,Đào Thanh Huy,Male,59,Open,1,1,A,"58,8","145,00","152,50","-157,50","-87,50","92,50","-97,50","195,00","202,50","207,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000073,Phan Kế Hoàng,Male,59,Open,1,1,A,"57,9","125,00","137,50","-142,50","87,50","95,00","-102,50","160,00","175,00","-182,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000042,Lê Ngọc Thành Công,Male,59,Junior,1,1,A,"58,8","160,00","170,00","0,00","60,00","70,00","-80,00","-190,00","190,00","200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000048,Lê Thanh Tùng,Male,59,Junior,1,1,A,"58,15","135,00","137,50","142,50","75,00","77,50","80,00","167,50","172,50","-177,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000051,Trần Minh Duy,Male,59,Junior,1,1,A,"58,6","130,00","140,00","150,00","65,00","70,00","-80,00","155,00","160,00","170,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000070,Nguyễn Đức Anh,Male,59,Junior,1,1,A,"57,65","-120,00","125,00","132,50","85,00","90,00","-95,00","155,00","162,50","-175,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000079,Nguyễn Chí Vương,Male,59,Junior,1,1,A,"58,3","110,00","112,50","125,00","70,00","75,00","80,00","135,00","150,00","-160,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000080,Nguyễn Văn Luân,Male,66,Open,1,1,B,"65,1","200,00","210,00","-220,00","120,00","-130,00","130,00","210,00","225,00","235,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000066,Trần Hoàng Anh,Male,66,Open,1,1,B,"65,45","-150,00","150,00","155,00","97,50","105,00","-107,50","165,00","-180,00","-180,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000014,Cồ Huy Khương,Male,66,Open,1,1,B,"63,9","105,00","112,50","120,00","92,50","100,00","107,50","150,00","162,50","172,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000028,Đinh Công Tiến,Male,66,Open,1,1,B,"65,85","110,00","-125,00","-125,00","80,00","90,00","95,00","155,00","170,00","-180,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000053,Nguyễn Lê Vũ Long,Male,66,Open,1,1,B,"65,7","110,00","122,50","130,00","70,00","77,50","-80,00","150,00","-160,00","165,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000095,Trần Tiến,Male,66,Open,1,1,B,"65,75","115,00","127,50","135,00","70,00","-75,00","80,00","145,00","155,00","-160,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000019,Nguyễn Hữu Thắng,Male,66,Junior,1,1,B,"65,95","170,00","-175,00","-175,00","-105,00","105,00","110,00","185,00","195,00","-205,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000018,Phan Văn Nhật,Male,66,Junior,1,1,B,63,"150,00","-160,00","-160,00","95,00","-105,00","-105,00","190,00","200,00","-207,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000007,Ngô Thái Sơn,Male,66,Junior,1,1,B,"63,65","145,00","150,00","155,00","95,00","100,00","-105,00","180,00","190,00","-200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000076,Hoàng Quốc Hưng,Male,66,Junior,1,1,B,"63,35","120,00","130,00","140,00","70,00","77,50","85,00","170,00","185,00","200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000043,Lưu Minh Chiến,Male,66,Junior,1,1,B,"65,5","120,00","130,00","140,00","-67,50","75,00","80,00","140,00","155,00","165,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000050,Nguyễn Hà Minh Hải,Male,66,Sub-Junior,1,1,B,"65,75","140,00","150,00","160,00","80,00","-85,00","0,00","205,00","215,00","-230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000032,Hoàng Mạnh Dũng,Male,66,Sub-Junior,1,1,B,"64,95","122,50","-130,00","135,00","70,00","77,50","82,50","135,00","145,00","155,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000071,Trần Huy Ích,Male,66,Sub-Junior,1,1,B,"63,3","120,00","125,00","130,00","65,00","-70,00","-70,00","140,00","-147,50","147,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000038,Lương Minh Kiệt,Male,66,Sub-Junior,1,1,B,"65,35","-105,00","110,00","115,00","-57,50","-60,00","-60,00","127,50","0,00","0,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000045,Nguyễn Thanh Tùng,Male,74,Open,1,2,D,"72,35","170,00","177,50","185,00","115,00","120,00","-122,50","-220,00","-220,00","220,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000063,Đỗ Quốc Anh,Male,74,Open,1,2,D,"73,75","165,00","175,00","180,00","95,00","102,50","105,00","-220,00","-230,00","230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000052,Phạm Đức Hải,Male,74,Open,1,2,C,"73,3","170,00","185,00","-192,50","-100,00","105,00","-115,00","190,00","-200,00","-200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000059,Vũ Tiến Nhuận,Male,74,Open,1,2,D,"69,65","-140,00","147,50","155,00","-105,00","110,00","117,50","180,00","190,00","200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000034,Nguyễn Việt Quang,Male,74,Open,1,2,D,"71,7","137,50","147,50","152,50","87,50","97,50","100,00","182,50","195,00","202,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000029,Nguyễn Tấn Lực,Male,74,Open,1,2,D,"72,9","120,00","-135,00","-135,00","-80,00","-80,00","-80,00","160,00","-170,00","170,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000082,Nguyễn Minh Quốc,Male,74,Junior,1,2,C,"73,1","-190,00","-197,50","197,50","115,00","122,50","-130,00","200,00","215,00","230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000016,Đinh Tuấn Nam,Male,74,Junior,1,2,C,"71,95","-172,50","175,00","182,50","117,50","122,50","127,50","225,00","237,50","-240,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000084,Lưu Hoàng Sơn,Male,74,Junior,1,2,C,"72,8","-157,50","165,00","172,50","-105,00","115,00","122,50","220,00","-230,00","-240,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000046,Phạm Quang Hà,Male,74,Junior,1,2,C,"72,45","-165,00","172,50","180,00","87,50","90,00","105,00","200,00","-210,00","215,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000065,Nguyễn Hồng Thăng,Male,74,Junior,1,2,C,"70,75","160,00","175,00","-180,00","100,00","105,00","-107,50","190,00","205,00","-220,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000004,Trần Quang Long,Male,74,Junior,1,2,C,"71,9","155,00","-165,00","165,00","95,00","102,50","110,00","180,00","192,50","205,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000020,Nguyễn Tân Đạt,Male,74,Junior,1,2,C,"71,6","150,00","157,50","167,50","110,00","-117,50","-117,50","-170,00","180,00","190,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000012,Nguyễn Ngọc Duy,Male,74,Junior,1,2,C,"71,3","150,00","160,00","170,00","95,00","-105,00","-110,00","175,00","185,00","-192,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000055,Lê Nguyễn Anh Khôi,Male,74,Junior,1,2,C,"68,25","120,00","-140,00","-150,00","-90,00","90,00","-95,00","150,00","170,00","-180,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000077,Bùi Phú Trường,Male,74,Junior,1,2,C,"68,45","120,00","-127,50","130,00","70,00","-77,50","-80,00","-160,00","167,50","175,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000025,Nguyễn Hải Cường,Male,74,Junior,1,2,C,"66,9","130,00","135,00","140,00","87,50","-95,00","-95,00","122,50","132,50","140,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000036,Lý Cẩm Hùng,Male,74,Sub-Junior,1,2,C,"72,8","180,00","-190,00","-195,00","85,00","-97,50","97,50","230,00","245,00","-250,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000083,Tạ Hoàng Thiên Bảo,Male,74,Sub-Junior,1,2,C,"70,95","130,00","135,00","-140,00","72,50","77,50","85,00","160,00","-172,50","175,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000096,Đặng Minh Hiển,Male,74,Sub-Junior,1,2,C,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000011,Giang Sô Ny,Male,83,Open,1,4,H,"81,85","190,00","205,00","-210,00","110,00","120,00","125,00","200,00","220,00","237,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000024,Nguyễn Việt Linh,Male,83,Open,1,4,H,"81,75","182,50","195,00","202,50","135,00","140,00","-142,50","215,00","220,00","-230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000088,Đoàn Thanh Việt,Male,83,Open,1,4,H,81,"170,00","180,00","190,00","120,00","127,50","130,00","215,00","225,00","227,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000062,Nguyễn Tuấn Tú,Male,83,Open,1,4,H,"80,55","170,00","180,00","190,00","107,50","117,50","-125,00","-205,00","215,00","225,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000049,Nguyễn Hùng Mạnh,Male,83,Open,1,4,H,"79,95","180,00","190,00","-197,50","-110,00","110,00","117,50","190,00","200,00","210,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000027,Đặng Văn Nam,Male,83,Open,1,4,H,"76,6","155,00","175,00","-185,00","105,00","-115,00","-120,00","185,00","195,00","202,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000026,Nguyễn Cao Minh Hoàng,Male,83,Open,1,4,H,"82,3","150,00","170,00","-180,00","-100,00","105,00","-110,00","170,00","180,00","190,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000058,Đinh Việt Hà,Male,83,Open,1,4,H,"79,6","140,00","155,00","165,00","100,00","-110,00","115,00","160,00","170,00","180,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000086,Hoàng Trần Trọng An,Male,83,Open,1,4,H,82,"150,00","162,50","-170,00","110,00","-115,00","117,50","150,00","160,00","165,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000023,Hoàng Minh Danh,Male,83,Open,1,4,H,"80,7","150,00","170,00","-180,00","65,00","-75,00","-75,00","160,00","180,00","-195,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000017,Lê Đức Anh,Male,83,Junior,1,4,G,"79,85","175,00","182,50","-190,00","85,00","92,50","-100,00","230,00","-237,50","-237,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000001,Phan Văn Tú,Male,83,Junior,1,4,G,"81,55","185,00","195,00","-202,50","110,00","-117,50","-117,50","190,00","200,00","-205,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000015,Nguyễn Quang Hưng,Male,83,Junior,1,4,G,"81,6","-160,00","182,50","-190,00","85,00","90,00","95,00","200,00","220,00","-230,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000047,Nguyễn Trí Bảo,Male,83,Junior,1,4,G,"77,9","140,00","147,50","155,00","-75,00","82,50","-87,50","175,00","187,50","202,50",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000092,Lê Quang Bình Minh,Male,83,Junior,1,4,G,82,"135,00","-142,50","147,50","-80,00","87,50","95,00","180,00","190,00","-200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000060,Đoàn Bá Tú,Male,83,Junior,1,4,G,"81,6","120,00","130,00","145,00","85,00","92,50","-100,00","140,00","155,00","170,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000090,Hà Chí Minh,Male,83,Junior,1,4,G,"82,55","130,00","-140,00","-140,00","-105,00","-105,00","-105,00","170,00","180,00","-200,00",,,2023,,,,,,,,,,,,,,,,,
VPF Amateur Invitational,VPF000040,Phạm Tùng Dương,Male,83,Junior,1,2,C,"73,15","-180,00","-185,00","185,00","-110,00","-110,00","-110,00","210,00","220,00","-225,00",,,2023,,,,,,,,,,,,,,,,,
